season,rule,p_champion_change,p_top3_change,rho_F,rho_J,drama_D,drama_D_late,upset_rate,suspense_H,suspense_H_late
30,rank_save,0.17,0.56,0.94989010989011,0.9137912087912088,0.8769178759775155,0.7636519719776087,0.23666666666666666,1.2323459484562234,1.2822793481656933
30,percent,0.25,0.53,0.9046703296703297,0.848956043956044,0.8250170670662834,0.6847717889495848,0.30777777777777776,1.4146173919073206,1.5013587765508583
30,percent_save,0.18,0.51,0.9127472527472527,0.8646703296703296,0.8298556715774181,0.6911369365525869,0.30000000000000004,1.344350834373835,1.5211794439142274
31,rank,0.0,0.0,0.9159999999999999,0.9167142857142856,0.5475191643596914,0.3829580338829037,0.41555555555555557,1.3123005805713714,1.385074140217171
31,rank_save,0.23,0.51,0.9116071428571426,0.9204642857142856,0.5823703337532747,0.4051911293031765,0.33444444444444443,1.188152390991662,1.323751557197383
31,percent,0.25,0.61,0.9268928571428571,0.9013928571428569,0.5195956222332491,0.3617721460096689,0.44555555555555554,1.4389796195592992,1.588777649493979
31,percent_save,0.22,0.5,0.9261785714285712,0.9052857142857141,0.5306790050389343,0.3253842585298021,0.4255555555555556,1.396557361168833,1.5401592399779993
32,rank,0.0,0.0,0.9169090909090909,0.9315454545454549,0.5455815204187765,0.3721347836781007,0.12,1.186265919483978,1.2469109645056091
32,rank_save,0.29,0.58,0.8700000000000003,0.9284545454545455,0.5057866519938843,0.3812646486259039,0.038,0.936514742529171,1.05539642861684
32,percent,0.29,0.65,0.8992727272727276,0.9022727272727274,0.505054587712035,0.31204297997450825,0.129,1.2547608809761484,1.2632389131189428
32,percent_save,0.14,0.6,0.903,0.931,0.5094440577697721,0.4003180966120842,0.062,1.0377571346930965,1.2272744317158002
33,rank,0.0,0.0,0.9029370629370631,0.8546153846153848,0.5832721063770449,0.573851710694476,0.2275,1.2105205074884908,1.0469169653182029
33,rank_save,0.14,0.63,0.8782517482517486,0.8502797202797203,0.6047774494952188,0.6055466276471522,0.18375,1.063877803998996,0.852552323874337
33,percent,0.28,0.72,0.8905594405594406,0.7758041958041959,0.5873384286102931,0.573589877313405,0.29375,1.2884151593242683,1.3021511929652163
33,percent_save,0.38,0.69,0.9025874125874128,0.8066433566433568,0.6042935773605462,0.5980509732349071,0.2425,1.1903854829112688,1.2038299923401643
34,rank,0.0,0.0,0.8521428571428572,0.860879120879121,0.8011220675942533,0.5455855779290708,0.255,1.0238256285906622,0.9625691681220051
34,rank_save,0.3,0.64,0.8408791208791209,0.8876373626373626,0.8066715151603663,0.6274677144503317,0.173,0.8821521749036844,0.8125545440492505
34,percent,0.29,0.47,0.8747252747252747,0.8068131868131868,0.7199373337685038,0.4169907038204006,0.28500000000000003,0.9600489842660027,0.6451678762724862
34,percent_save,0.28,0.51,0.8674175824175824,0.8347252747252749,0.7857108654457804,0.5443183865159452,0.284,1.151402068205641,1.0092718745899192
